"participant","leaveoutindex","environment","context","lambda","beta","tau"
105,8,"Rough","Spatial",26.5815520621641,3.10755084531853,0.0836486227888177
105,9,"Rough","Spatial",1.27492625815808,0.023605419653326,0.103485806281068
105,3,"Rough","Spatial",18.5850572903099,3.52857599631982,0.106731896672495
105,7,"Rough","Spatial",12.8676038123773,2.24628770981791,0.104035466452864
105,4,"Rough","Spatial",10.9634740971116,2.36334817431124,0.118059628237494
105,5,"Rough","Spatial",1.32605776313475,0.0424976761253757,0.100050076959356
105,6,"Rough","Spatial",1.31789987993778,0.0281081411735571,0.101658221185952
105,2,"Rough","Spatial",1.34255894611701,0.0421668381153413,0.0929257209210423
106,3,"Rough","Conceptual",0.983092681850693,0.00673794699969723,0.06818879875487
106,1,"Rough","Conceptual",1.05115135647185,0.00673794699935635,0.0597097337095659
106,2,"Rough","Conceptual",0.962023990349635,0.00673794699910987,0.0710905115328598
106,5,"Rough","Conceptual",0.999412294244336,0.00673794699917948,0.0704272316643481
106,4,"Rough","Conceptual",0.973287163130902,0.00673794699909499,0.0686755376038063
106,9,"Rough","Conceptual",0.993202476253477,0.00673794701525752,0.0710323469631085
106,6,"Rough","Conceptual",1.00510019480542,0.00673794699908799,0.0701532781865231
106,8,"Rough","Conceptual",0.969611063636165,0.00673794699909238,0.0696308698113988
106,7,"Rough","Conceptual",1.14134419372349,0.0067379469990937,0.06537816053012
106,3,"Rough","Spatial",0.619503415516209,0.195922551386157,0.0391280322617149
106,1,"Rough","Spatial",0.605529116945816,0.212116428900043,0.0354843112549779
106,2,"Rough","Spatial",0.620143058419545,0.199353963058521,0.0392443577111034
106,5,"Rough","Spatial",0.576612780680662,0.253939691003832,0.0344880082743559
106,4,"Rough","Spatial",0.643633622909053,0.211980733679513,0.0341707274909408
106,9,"Rough","Spatial",0.618209587383773,0.211405438384641,0.0364488026683383
106,6,"Rough","Spatial",0.635559217673254,0.192574137526148,0.0403261387395914
106,8,"Rough","Spatial",0.569580170210525,0.24090407384647,0.0304252731705053
106,7,"Rough","Spatial",0.626588938130708,0.200159227003162,0.0381038044622484
107,1,"Smooth","Conceptual",0.810362899526107,0.0761273047841835,0.0502451842269662
107,2,"Smooth","Conceptual",0.763284123297918,0.0864093374248526,0.0484364347217143
107,3,"Smooth","Conceptual",0.776546140309873,0.0900874441228565,0.0494819741836862
107,4,"Smooth","Conceptual",0.772762202911645,0.0803050266545961,0.0498084196451379
107,5,"Smooth","Conceptual",0.747393514971969,0.0934125295009393,0.0477313485754016
107,6,"Smooth","Conceptual",0.784923348123128,0.0847928598264616,0.049990891294723
107,7,"Smooth","Conceptual",0.818769762956058,0.0932391231105846,0.0447974981631213
107,8,"Smooth","Conceptual",0.624510548275395,0.193484857979809,0.0372618289538768
107,9,"Smooth","Conceptual",0.798170195963537,0.0943820882910276,0.049764916963946
107,1,"Smooth","Spatial",0.423279788211039,0.441543168845418,0.00799233005709532
107,2,"Smooth","Spatial",1.78781217041417,0.178828503761162,0.0270206085233087
107,3,"Smooth","Spatial",1.58475569251486,0.167734661966672,0.0351869783021358
107,4,"Smooth","Spatial",1.62463684622626,0.203029117210754,0.03294242623213
107,5,"Smooth","Spatial",1.71883962292652,0.176229359424438,0.0300817327925447
107,6,"Smooth","Spatial",1.73219485015122,0.173723987581584,0.029846532480793
107,7,"Smooth","Spatial",1.63225730117819,0.171373128261963,0.03424438936844
107,8,"Smooth","Spatial",1.78257257758164,0.219689793447758,0.0296653084979937
107,9,"Smooth","Spatial",1.75156667565816,0.184286923432357,0.0338782633185824
109,1,"Rough","Conceptual",0.989918627269403,0.00673794699909027,0.115395043600571
109,2,"Rough","Conceptual",1.0006796785113,0.00673794699916491,0.115840227838005
109,3,"Rough","Conceptual",1.00001597505688,0.00673794699908614,0.111382956124926
109,4,"Rough","Conceptual",0.937961767867551,0.00673794699912642,0.112855843674864
109,5,"Rough","Conceptual",0.933006500011079,0.00673794699911015,0.114889061659216
109,6,"Rough","Conceptual",1.00878438296535,0.00673794699908655,0.109838857213866
109,7,"Rough","Conceptual",0.945092645907183,0.00673794699909312,0.105468481107724
109,8,"Rough","Conceptual",1.00204698072069,0.00673794699908623,0.105180269110984
109,9,"Rough","Conceptual",0.965009384611407,0.00673794699909061,0.109917668913242
109,1,"Rough","Spatial",0.962434905343126,0.00673794701380282,0.1700846716651
109,2,"Rough","Spatial",0.974505189444169,0.00673794699910561,0.170647326526728
109,3,"Rough","Spatial",0.649105173195627,0.00673794699908977,0.148712125428043
109,4,"Rough","Spatial",1.00311291280185,0.00673794699911409,0.129957578076349
109,5,"Rough","Spatial",0.993066085457218,0.00673794699912212,0.126869969366167
109,6,"Rough","Spatial",0.946182971482212,0.00673794699913046,0.146230504737429
109,7,"Rough","Spatial",0.818033793324863,0.00673794699908805,0.121074375994698
109,8,"Rough","Spatial",1.10140009586405,0.00673794699908836,0.159892708211034
109,9,"Rough","Spatial",0.845981864708412,0.00673794699911012,0.143773424975967
11,9,"Smooth","Conceptual",0.738788697345841,0.00922571976158074,0.0811036050234722
11,1,"Smooth","Conceptual",0.792980937260156,0.0067379469991757,0.0788771355078242
11,2,"Smooth","Conceptual",0.829981200934213,0.00817370414401327,0.081128451506734
11,3,"Smooth","Conceptual",0.740965054080599,0.00942635087098541,0.0823968606507154
11,4,"Smooth","Conceptual",0.649176420414186,0.142915494753658,0.0502508203592555
11,5,"Smooth","Conceptual",0.784132270503885,0.0139286398251666,0.0817637690521791
11,6,"Smooth","Conceptual",0.706591874752701,0.0563728847017164,0.0756137688489107
11,7,"Smooth","Conceptual",0.701174975302176,0.0540799325735938,0.0739031895020367
11,8,"Smooth","Conceptual",0.730276562138856,0.0403656537057385,0.0750550347752409
11,9,"Smooth","Spatial",0.818311756695548,0.106615020650837,0.0704565238903068
11,1,"Smooth","Spatial",0.821355058095354,0.109199943890941,0.0668784328372885
11,2,"Smooth","Spatial",0.492903442722012,0.357202337649065,0.0246600250829023
11,3,"Smooth","Spatial",0.858437549231802,0.109048070451154,0.0687823410138968
11,4,"Smooth","Spatial",0.832183119880197,0.117453547760174,0.0682936838661753
11,5,"Smooth","Spatial",0.816699064069722,0.115048457842182,0.0676173888519021
11,6,"Smooth","Spatial",0.818376084670776,0.114721915280882,0.067052934005574
11,7,"Smooth","Spatial",0.816332553083611,0.143840079241815,0.0515617181135948
11,8,"Smooth","Spatial",0.879617444644692,0.116981817728338,0.0692170307243823
110,3,"Rough","Conceptual",0.882831866823756,0.0185744432042301,0.0729658326771212
110,1,"Rough","Conceptual",0.916949957886032,0.0255950306441194,0.0702804556235045
110,2,"Rough","Conceptual",0.892982417852599,0.0204278338746344,0.0759820872471494
110,5,"Rough","Conceptual",0.860319986285828,0.0316641119040388,0.0720784083436039
110,6,"Rough","Conceptual",0.862360409098496,0.0193505127581835,0.0755388939661369
110,4,"Rough","Conceptual",0.833164569330464,0.00673794705605512,0.0760641012750322
110,8,"Rough","Conceptual",0.857857162491348,0.0186651469254919,0.0733474579126168
110,9,"Rough","Conceptual",0.875411039134062,0.0191624451681058,0.0732509370463185
110,7,"Rough","Conceptual",0.848015480198505,0.0274192224170949,0.0701153917932917
110,3,"Rough","Spatial",0.718404088161859,0.222512886496213,0.028789939813963
110,1,"Rough","Spatial",0.772389748713953,0.204985796465965,0.032407727823865
110,2,"Rough","Spatial",0.607256044914528,0.30111409660085,0.023375877130688
110,5,"Rough","Spatial",0.783984012413165,0.213567435600466,0.0267520693342871
110,6,"Rough","Spatial",0.75145517419335,0.206917861892006,0.0321495860324506
110,4,"Rough","Spatial",0.77571757295648,0.203309536797081,0.0326052582386737
110,8,"Rough","Spatial",0.783288336421794,0.193349885816708,0.0349198081073698
110,9,"Rough","Spatial",0.73331378875666,0.223245323225413,0.0291323445939523
110,7,"Rough","Spatial",0.749540365543766,0.195655003909912,0.0334539021290981
111,4,"Smooth","Conceptual",0.75974428091133,0.0651925115752049,0.0846795993015984
111,5,"Smooth","Conceptual",0.775907730674541,0.0612980054305308,0.0837485133106139
111,6,"Smooth","Conceptual",0.786017561013827,0.0695997774691188,0.0813211703640198
111,3,"Smooth","Conceptual",0.779614222107176,0.064916701815015,0.0858288677798367
111,7,"Smooth","Conceptual",0.713198173759903,0.107193971567793,0.0759631953190342
111,1,"Smooth","Conceptual",0.776218329405666,0.0678442393489357,0.0831572791192547
111,2,"Smooth","Conceptual",0.723678415007644,0.129264180610782,0.0710328531442205
111,8,"Smooth","Conceptual",0.763845355465327,0.064121964108442,0.0805045954999351
111,9,"Smooth","Conceptual",0.808638448622064,0.0489095374512256,0.0896989777179789
111,4,"Smooth","Spatial",1.28521549592598,0.0698209404097512,0.0590278981697564
111,5,"Smooth","Spatial",1.2187878552294,0.0584248010243132,0.0666794669572614
111,6,"Smooth","Spatial",1.29799228340974,0.0353771925400067,0.0736599973688644
111,3,"Smooth","Spatial",1.26782966288821,0.0456381665078072,0.0700479941887344
111,7,"Smooth","Spatial",1.32726806553807,0.0437353266647082,0.0712319589114097
111,1,"Smooth","Spatial",1.31455319110628,0.0436705774948099,0.0694549665020299
111,2,"Smooth","Spatial",1.19548629541398,0.0489545493828764,0.0729647214633868
111,8,"Smooth","Spatial",1.52702884269025,0.0539183571577557,0.0678895617486492
111,9,"Smooth","Spatial",1.32402106118127,0.0442130491269236,0.0733982340603429
114,1,"Rough","Conceptual",1.0759207249996,0.00673794699908925,0.0560665560721543
114,5,"Rough","Conceptual",1.01393445680241,0.0067379469990933,0.0531338140576195
114,8,"Rough","Conceptual",1.05777250533851,0.00673794699914717,0.0549224810342903
114,9,"Rough","Conceptual",1.04929061404093,0.00673794699908949,0.0573539077624689
114,2,"Rough","Conceptual",1.2214162194596,0.0067379469990883,0.0425387340191235
114,3,"Rough","Conceptual",1.03350130231051,0.00673794699908617,0.0553843405858991
114,4,"Rough","Conceptual",1.05154591448885,0.00673794699909352,0.0568810758975621
114,6,"Rough","Conceptual",1.07477352394525,0.00673794699908789,0.0571892617605222
114,7,"Rough","Conceptual",1.04687371795622,0.00673794699909385,0.0586268378221388
114,1,"Rough","Spatial",1.08461718818174,0.105326876451793,0.05861880442464
114,5,"Rough","Spatial",1.08632293033383,0.102841559885374,0.055878567452879
114,8,"Rough","Spatial",1.14838465367697,0.0924787707222324,0.0590721733982244
114,9,"Rough","Spatial",1.16395043326855,0.0897076975006056,0.0617479414555797
114,2,"Rough","Spatial",1.28457336833471,0.0808126142249012,0.0546081536873897
114,3,"Rough","Spatial",1.0459738411917,0.0979794598962546,0.0571541641762014
114,4,"Rough","Spatial",1.1748012582221,0.088060428513674,0.0562727107415888
114,6,"Rough","Spatial",1.13308563968087,0.0828986467055441,0.0606237957530151
114,7,"Rough","Spatial",1.13863592407595,0.0885673073851774,0.0598022094538421
117,1,"Rough","Conceptual",0.889258310669686,0.00673794699908617,0.0767746490451404
117,2,"Rough","Conceptual",0.903483085028892,0.00673794699909334,0.0805774824561611
117,3,"Rough","Conceptual",0.889293638361574,0.0067379469990907,0.0806355281525973
117,4,"Rough","Conceptual",0.981581772770573,0.00673794699912483,0.0662316177527093
117,5,"Rough","Conceptual",0.873665818639647,0.00673794699912251,0.0801697463664209
117,6,"Rough","Conceptual",0.877850123678008,0.00673794699909198,0.0751300918974372
117,7,"Rough","Conceptual",0.918876430511308,0.00673794699914024,0.0743637521767513
117,8,"Rough","Conceptual",0.912575118421416,0.00673794699908975,0.0775192183766762
117,9,"Rough","Conceptual",0.877953241851063,0.00673794699909649,0.0787891082294447
117,1,"Rough","Spatial",1.28927178894224,0.00673794699908979,0.0548639414802895
117,2,"Rough","Spatial",1.320586504307,0.0067379469991303,0.0592916052503514
117,3,"Rough","Spatial",1.26869893640624,0.00673794699908732,0.0585412532424697
117,4,"Rough","Spatial",1.34596268162073,0.00673794699910561,0.0597442587060434
117,5,"Rough","Spatial",1.33664890051931,0.00673794699910698,0.0584920953982191
117,6,"Rough","Spatial",1.3323197260612,0.00673794699908883,0.0587006116408229
117,7,"Rough","Spatial",1.39668285824573,0.0067379469990871,0.0606866292257982
117,8,"Rough","Spatial",1.3793552969518,0.00673794699908758,0.0613866287707328
117,9,"Rough","Spatial",1.3815815385134,0.00673794699909696,0.0557059154990776
118,3,"Rough","Conceptual",0.852075884985902,0.00673794699908802,0.0650039944982266
118,7,"Rough","Conceptual",0.854306952795925,0.00673794699909279,0.0656318854715143
118,4,"Rough","Conceptual",0.854120177840746,0.00673794699913725,0.064810766031146
118,5,"Rough","Conceptual",0.845701406489951,0.00673794699908952,0.0621060028660108
118,2,"Rough","Conceptual",0.872719927499673,0.0067379469993972,0.0647846096646089
118,8,"Rough","Conceptual",0.843789409784871,0.00673794715093546,0.0662155231847147
118,9,"Rough","Conceptual",0.879935348503304,0.00673794703159515,0.0634325192086979
118,6,"Rough","Conceptual",0.802702755540084,0.00673794699910496,0.063296109613242
118,1,"Rough","Conceptual",0.89563109958761,0.00829093393345642,0.0602344595305461
118,3,"Rough","Spatial",1.10921778148031,0.126742591151908,0.0466998236805786
118,7,"Rough","Spatial",1.22100624591814,0.0817901863557804,0.054576169793906
118,4,"Rough","Spatial",1.31125253871544,0.102629797196361,0.0513241181101509
118,5,"Rough","Spatial",1.27006103283741,0.0895102421639093,0.0512191228885465
118,2,"Rough","Spatial",1.20922956507071,0.0832332513914504,0.0558571563170677
118,8,"Rough","Spatial",1.212818362509,0.0838535229032163,0.053893621314373
118,9,"Rough","Spatial",1.22693008014354,0.083016298280169,0.0542457464419079
118,6,"Rough","Spatial",1.20998275918298,0.0846954647266226,0.0535970328288788
118,1,"Rough","Spatial",1.24476600692547,0.0895574734356004,0.0545044599266548
119,1,"Smooth","Conceptual",0.812501627399815,0.0663082306475894,0.0607126505148488
119,9,"Smooth","Conceptual",1.0322233618543,0.00673794699980434,0.0628121426652992
119,3,"Smooth","Conceptual",1.01954409087106,0.00673794699951685,0.0628591461830488
119,4,"Smooth","Conceptual",0.952422219552939,0.00673794699911032,0.0633160087068732
119,7,"Smooth","Conceptual",0.969582834547305,0.00673794699917128,0.0602385666210031
119,8,"Smooth","Conceptual",1.01365536428455,0.0205368638846993,0.0526132843238856
119,5,"Smooth","Conceptual",0.968549045727936,0.00673794699908648,0.0628740510591432
119,6,"Smooth","Conceptual",1.01848729506408,0.0119359821662174,0.0655424217903797
119,2,"Smooth","Conceptual",0.970721550741986,0.006737946999163,0.0570730276315142
119,1,"Smooth","Spatial",1.78144350230813,0.0579581896838661,0.0482821891209687
119,9,"Smooth","Spatial",1.75388037946459,0.0625171248560752,0.051273518462692
119,3,"Smooth","Spatial",1.74802936729235,0.0589927592300398,0.0523548248534263
119,4,"Smooth","Spatial",2.3241605672181,0.0946543974316272,0.0318976415863455
119,7,"Smooth","Spatial",1.69899411016498,0.0551865710711004,0.0502235476874736
119,8,"Smooth","Spatial",1.82864886818744,0.0426943754109822,0.0509151154219301
119,5,"Smooth","Spatial",1.7357342488869,0.069559468613911,0.0510347197603977
119,6,"Smooth","Spatial",1.62525296912702,0.0582769482359569,0.053135649519532
119,2,"Smooth","Spatial",1.68321303728094,0.0554204749048421,0.0432546574317572
12,1,"Smooth","Conceptual",1.08910968266652,0.00673794699916237,0.0774944040180582
12,3,"Smooth","Conceptual",1.22485566244122,0.0067379469991721,0.0794695607816027
12,4,"Smooth","Conceptual",1.09001756882738,0.00673794699930491,0.0862502859880106
12,5,"Smooth","Conceptual",1.03813444286716,0.00673794699922315,0.0838045010181444
12,6,"Smooth","Conceptual",1.03011112469408,0.0067379469991245,0.0876720312168127
12,7,"Smooth","Conceptual",1.0296587182238,0.0104575212748724,0.0864074092489729
12,8,"Smooth","Conceptual",1.07421351416925,0.0067379469990859,0.0850772946911276
12,9,"Smooth","Conceptual",0.984995402686433,0.00673794699909091,0.0833430068294857
12,2,"Smooth","Conceptual",1.06230244816829,0.00673794699908689,0.0790345136133464
12,1,"Smooth","Spatial",1.10437227814336,0.081658313021177,0.0531335481086048
12,3,"Smooth","Spatial",1.20051003095393,0.082490987520394,0.0512643370225186
12,4,"Smooth","Spatial",1.09871938887444,0.0976097372688731,0.0493056578112814
12,5,"Smooth","Spatial",1.16519661076481,0.0897010759266687,0.0543478022712457
12,6,"Smooth","Spatial",1.2872750612761,0.0997195120676915,0.0458800656829952
12,7,"Smooth","Spatial",1.1421119544835,0.0881241281728512,0.0527950145480472
12,8,"Smooth","Spatial",1.01768027782434,0.110637076565653,0.0533320866600097
12,9,"Smooth","Spatial",1.09746073100941,0.0816275700590182,0.054679952120832
12,2,"Smooth","Spatial",1.12039445994585,0.078505312440469,0.0512020557148932
120,3,"Smooth","Conceptual",0.850329637502894,0.00673794699947926,0.119415391870856
120,4,"Smooth","Conceptual",0.864213620783508,0.00673794699908641,0.12888707265363
120,1,"Smooth","Conceptual",0.94380470120413,0.00673794699910768,0.148742415218245
120,2,"Smooth","Conceptual",0.873022660845659,0.00673794699909037,0.117177125422682
120,5,"Smooth","Conceptual",0.845439148028184,0.00673794699911221,0.111150676498256
120,6,"Smooth","Conceptual",0.838590333714834,0.00673794699908669,0.126951904707959
120,7,"Smooth","Conceptual",0.856792777035039,0.00673794699909659,0.121339458745835
120,9,"Smooth","Conceptual",0.801524386179112,0.00673794699912964,0.124259282631615
120,8,"Smooth","Conceptual",0.85374938672141,0.00673794699911348,0.121689275895497
120,3,"Smooth","Spatial",0.476405169894614,0.35748213616001,0.0212517792326317
120,4,"Smooth","Spatial",0.498184255146193,0.361847723886058,0.0195902173619929
120,1,"Smooth","Spatial",0.47648791213936,0.362206899237225,0.0197844043338184
120,2,"Smooth","Spatial",0.439779693525649,0.394031110520559,0.0152303298133865
120,5,"Smooth","Spatial",0.469084455476104,0.363769569912517,0.0204227650900413
120,6,"Smooth","Spatial",1.6985207410701,0.0893963217036253,0.048991533290966
120,7,"Smooth","Spatial",0.49229432973047,0.35167889110348,0.0227520947209573
120,9,"Smooth","Spatial",0.444534093958429,0.388665468676333,0.0160869668457835
120,8,"Smooth","Spatial",0.470325371406107,0.36482421567209,0.0208619598151018
121,1,"Rough","Conceptual",1.08354294476426,0.00887648238805529,0.0843997030409053
121,2,"Rough","Conceptual",0.804461928524356,0.187378604517279,0.0399757561825134
121,3,"Rough","Conceptual",1.02183441375606,0.00939375485838381,0.0874340241967618
121,4,"Rough","Conceptual",1.11390159431445,0.0126849310970345,0.0864342508540254
121,5,"Rough","Conceptual",1.12414589952893,0.00673794699909719,0.0864705807700292
121,6,"Rough","Conceptual",1.03323196862035,0.00731456643696796,0.0846797529937056
121,7,"Rough","Conceptual",1.01602904383901,0.00673794699966382,0.0833307475331671
121,8,"Rough","Conceptual",1.04114255172976,0.00673794699909039,0.0846575983387657
121,9,"Rough","Conceptual",0.994924774552507,0.00673794699917703,0.085644418973273
121,1,"Rough","Spatial",1.22519896428073,0.103652708056574,0.0544274157042548
121,2,"Rough","Spatial",1.44198722747289,0.0343350931604876,0.0604675362653371
121,3,"Rough","Spatial",1.49870883903732,0.0451824286443657,0.0599150335806969
121,4,"Rough","Spatial",1.56480660294639,0.0511502192314514,0.0623027425739592
121,5,"Rough","Spatial",1.41184172127664,0.0409369903085166,0.0649406546767683
121,6,"Rough","Spatial",1.44853228215524,0.0466726128253647,0.0604238892257343
121,7,"Rough","Spatial",1.51136395367846,0.0555998756384831,0.0650162914338479
121,8,"Rough","Spatial",1.62950499659238,0.0307899119609455,0.0607938832828077
121,9,"Rough","Spatial",1.50952391746901,0.0321424651998925,0.0632884170203713
122,1,"Rough","Conceptual",0.921042827174449,0.00673794700057547,0.0763102446572982
122,3,"Rough","Conceptual",0.861052076941656,0.00673794699937959,0.0759236327335445
122,4,"Rough","Conceptual",0.888313483139751,0.0067379469998636,0.0761275674452022
122,5,"Rough","Conceptual",0.95215528639826,0.0067379469996915,0.0776381314232189
122,6,"Rough","Conceptual",0.853052134733352,0.00673794699920825,0.0758641476267587
122,7,"Rough","Conceptual",0.958696510565858,0.00673794699913695,0.0802233324307309
122,8,"Rough","Conceptual",1.01095828320181,0.00673794699908763,0.0718895861756992
122,9,"Rough","Conceptual",1.14784780670784,0.00673794699979239,0.0671560482081643
122,2,"Rough","Conceptual",0.798805969283794,0.0445250712385999,0.068184959955805
122,1,"Rough","Spatial",1.51729201309904,0.00721966563070851,0.0410146287539493
122,3,"Rough","Spatial",1.50510723460725,0.00673794699910247,0.0434454056981571
122,4,"Rough","Spatial",1.73188438910758,0.00673794699970232,0.0408425122248516
122,5,"Rough","Spatial",1.573792826737,0.0067379469991233,0.044230327578205
122,6,"Rough","Spatial",1.56721345226842,0.00673794700048265,0.042024513097218
122,7,"Rough","Spatial",1.66292013518955,0.0162198237768615,0.0439996546455649
122,8,"Rough","Spatial",1.57603093976964,0.00673794699920835,0.0440486565602272
122,9,"Rough","Spatial",1.5469304895299,0.00673794699912027,0.0415568563910624
122,2,"Rough","Spatial",1.54529353492829,0.00804554483863321,0.0401933557262755
123,3,"Smooth","Conceptual",1.54148046108037,0.0831619005392695,0.0820777956494064
123,4,"Smooth","Conceptual",1.532152675737,0.0958894016697474,0.0874895751924739
123,1,"Smooth","Conceptual",2.04511164478481,0.0883785547526458,0.0823137170332181
